SCOPE,TM,RS,NAME,G,GS,MIN,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF,DEF,TREB,AST,PF,DQ,STL,TO,BLK,PTS,PPG,HI,Starter
Total,OKC,ACT,Wiggins,75,25,1707,347,710,0.489,128,333,0.384,64,79,0.81,79,209,288,127,97,1,58,68,18,886,11.8,41,0
Total,MIA,ACT,Wiggins,60,60,1842,376,839,0.448,130,348,0.374,196,257,0.763,89,180,269,158,101,0,60,99,50,1078,18.0,42,1
Total,DAL,ACT,Williams,32,2,480,98,186,0.527,24,60,0.4,55,64,0.859,11,43,54,76,32,0,24,38,4,275,8.6,31,0
Total,UTA,ACT,Williams,50,21,1060,83,257,0.323,35,135,0.259,29,40,0.725,27,86,113,59,95,0,23,44,16,230,4.6,13,0
Total,CHA,ACT,Williams,16,7,479,54,123,0.439,27,74,0.365,31,37,0.838,18,64,82,37,46,0,18,28,13,166,10.4,17,0
Total,OKC,ACT,Williams,69,69,2237,565,1168,0.484,124,340,0.365,236,299,0.789,59,310,369,354,158,0,111,150,46,1490,21.6,41,1
Total,OKC,ACT,Williams,46,8,782,97,220,0.441,61,153,0.399,23,30,0.767,48,212,260,120,79,0,22,35,29,278,6.0,19,0
Total,OKC,ACT,Williams,68,6,1095,163,336,0.485,66,164,0.402,27,35,0.771,63,166,229,95,109,0,40,36,10,419,6.2,18,0
Total,CHA,ACT,Williams,44,41,1171,270,447,0.604,0,4,0.0,131,163,0.804,132,315,447,109,105,0,32,71,54,671,15.3,38,1
Total,HOU,ACT,Williams,19,0,135,24,57,0.421,5,24,0.208,5,8,0.625,2,7,9,7,13,0,8,14,4,58,3.1,12,0
Total,CHI,ACT,Williams,62,36,1550,199,504,0.395,93,264,0.352,60,82,0.732,43,188,231,120,86,1,46,83,31,551,8.9,21,1
Total,POR,ACT,Williams,20,3,351,50,78,0.641,1,3,0.333,15,17,0.882,35,83,118,21,31,0,13,17,33,116,5.8,19,0
Total,MEM,ACT,Williams,26,4,474,63,159,0.396,24,92,0.261,17,22,0.773,17,70,87,50,44,0,12,33,6,167,6.4,15,0
Total,BRK,ACT,Williams,63,45,1541,214,520,0.412,103,302,0.341,101,123,0.821,61,226,287,84,149,1,62,67,28,632,10.0,23,1
Total,NO,ACT,Williamson,30,30,857,288,508,0.567,3,13,0.231,158,241,0.656,76,140,216,159,82,0,37,90,27,737,24.6,40,1
Total,BRK,ACT,Wilson,78,21,1993,240,609,0.394,117,354,0.331,134,162,0.827,75,191,266,141,162,1,40,79,5,731,9.4,20,0
Total,NY,ACT,Wright,39,7,614,43,125,0.344,20,70,0.286,14,24,0.583,25,39,64,74,23,0,34,22,12,120,3.1,12,0
Total,PHI,ACT,Yabusele,70,43,1895,282,563,0.501,104,274,0.38,100,138,0.725,134,261,395,148,164,1,58,87,24,768,11.0,28,1
Total,ATL,ACT,Young,76,76,2739,566,1376,0.411,218,642,0.34,491,561,0.875,36,200,236,880,145,0,91,355,12,1841,24.2,43,1
Total,ORL,ACT,da Silva,73,37,1592,194,470,0.413,76,233,0.326,55,63,0.873,71,167,238,107,93,0,33,55,18,519,7.1,25,1
