SCOPE,TM,RS,NAME,G,GS,MIN,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF,DEF,TREB,AST,PF,DQ,STL,TO,BLK,PTS,PPG,HI,Starter
Total,IND,ACT,Turner,71,71,2161,387,807,0.48,155,392,0.395,182,236,0.771,90,380,470,110,182,0,54,122,143,1111,15.6,34,1
Total,DEN,ACT,Tyson,50,2,395,45,119,0.378,23,74,0.311,19,26,0.731,25,53,78,19,42,0,10,14,6,132,2.6,18,0
Total,CLE,ACT,Tyson,46,2,407,52,124,0.419,16,46,0.348,16,20,0.8,34,55,89,40,47,0,10,21,2,136,3.0,16,0
Total,MIL,ACT,Umude,21,0,70,5,24,0.208,3,14,0.214,2,4,0.5,4,13,17,3,7,0,3,3,4,15,0.7,3,0
Total,SAC,ACT,Valanciunas,80,21,1503,335,616,0.544,8,37,0.216,143,163,0.877,187,430,617,160,179,2,37,118,46,821,10.3,23,0
Total,HOU,ACT,VanVleet,59,59,2084,282,746,0.378,156,453,0.344,109,134,0.813,32,189,221,330,138,1,93,84,25,829,14.1,38,1
Total,LAL,ACT,Vanderbilt,36,2,581,59,121,0.488,9,32,0.281,20,36,0.556,68,114,182,41,67,0,35,29,10,147,4.1,12,0
Total,SA,ACT,Vassell,64,53,1983,394,889,0.443,158,429,0.368,95,120,0.792,34,221,255,183,108,1,84,88,33,1041,16.3,37,1
Total,LAL,ACT,Vincent,72,11,1527,168,420,0.4,109,309,0.353,15,21,0.714,20,72,92,98,152,0,51,41,13,460,6.4,24,0
Total,CHI,ACT,Vucevic,72,71,2262,547,1028,0.532,129,320,0.403,118,147,0.803,172,555,727,256,162,0,60,117,51,1341,18.6,40,1
Total,WAS,ACT,Vukcevic,34,1,474,111,230,0.483,34,96,0.354,46,60,0.767,25,94,119,34,53,0,11,38,22,302,8.9,24,0
Total,CLE,ACT,Wade,59,30,1252,112,271,0.413,80,222,0.36,16,30,0.533,51,198,249,76,101,0,42,22,20,320,5.4,19,1
Total,ORL,ACT,Wagner,60,60,2023,537,1161,0.463,104,352,0.295,271,311,0.871,56,286,342,284,147,1,75,138,21,1449,24.2,37,1
Total,ORL,ACT,Wagner,30,1,564,140,249,0.562,27,75,0.36,79,110,0.718,40,108,148,42,55,0,24,49,12,386,12.9,32,0
Total,POR,ACT,Walker,59,1,726,114,220,0.518,28,72,0.389,47,69,0.681,59,150,209,36,87,0,33,34,6,303,5.1,22,0
Total,IND,ACT,Walker,74,4,1155,165,347,0.476,74,180,0.411,46,69,0.667,25,196,221,105,114,0,52,78,25,450,6.1,17,0
Total,PHI,ACT,Walker,19,6,440,78,189,0.413,37,112,0.33,23,29,0.793,5,52,57,48,27,0,10,25,5,216,11.4,29,0
